Type,Last Trade Date (EST),Strike,Last Price,Bid,Ask,Spread,Mid-Price,Volume,Open Interest
P,11/7/2025 3:55 PM,300,2.27,2.24,2.28,0.04,2.26,1633,13290
P,11/7/2025 3:58 PM,305,2.45,2.43,2.48,0.05,2.455,195,1526
P,11/7/2025 3:58 PM,320,3.2,3.2,3.25,0.05,3.225,164,5582
P,11/7/2025 3:59 PM,330,3.95,3.9,4,0.1,3.95,1076,4767
P,11/7/2025 3:56 PM,335,4.42,4.35,4.45,0.1,4.4,157,2011
P,11/7/2025 3:58 PM,350,6.04,6,6.1,0.1,6.05,1450,13257
P,11/7/2025 3:57 PM,355,6.75,6.7,6.8,0.1,6.75,162,861
P,11/7/2025 3:59 PM,360,7.56,7.5,7.6,0.1,7.55,342,4450
P,11/7/2025 3:59 PM,365,8.43,8.35,8.5,0.15,8.425,608,2284
P,11/7/2025 3:58 PM,370,9.4,9.35,9.45,0.1,9.4,572,8712
P,11/7/2025 3:59 PM,375,10.45,10.45,10.55,0.1,10.5,542,2242
P,11/7/2025 3:59 PM,380,11.72,11.65,11.75,0.1,11.7,1413,8026
P,11/7/2025 3:54 PM,385,13.1,13,13.1,0.1,13.05,529,1779
P,11/7/2025 3:56 PM,395,16.05,16.05,16.2,0.15,16.125,245,1205
P,11/7/2025 3:59 PM,400,17.8,17.8,17.95,0.15,17.875,1567,16889
P,11/7/2025 3:59 PM,410,21.74,21.7,21.85,0.15,21.775,513,5249
P,11/7/2025 3:58 PM,415,23.65,23.85,24.05,0.2,23.95,179,1907
P,11/7/2025 3:52 PM,420,26.2,26.2,26.35,0.15,26.275,1703,6902
P,11/7/2025 3:59 PM,425,28.73,28.65,28.8,0.15,28.725,612,4118
C,11/7/2025 3:59 PM,430,33,32.9,33.05,0.15,32.975,2620,7656
C,11/7/2025 3:59 PM,435,30.81,30.65,30.85,0.2,30.75,788,2203
C,11/7/2025 3:59 PM,440,28.65,28.6,28.7,0.1,28.65,2367,7624
C,11/7/2025 3:56 PM,445,26.8,26.6,26.75,0.15,26.675,396,1835
C,11/7/2025 3:59 PM,450,24.8,24.75,24.9,0.15,24.825,6091,13553
C,11/7/2025 3:57 PM,455,22.78,23,23.15,0.15,23.075,794,13124
C,11/7/2025 3:59 PM,460,21.55,21.4,21.55,0.15,21.475,1902,7304
C,11/7/2025 3:59 PM,465,20.02,19.9,20,0.1,19.95,501,3100
C,11/7/2025 3:59 PM,470,18.57,18.5,18.6,0.1,18.55,880,5005
C,11/7/2025 3:56 PM,475,17.4,17.15,17.3,0.15,17.225,806,4351
C,11/7/2025 3:59 PM,480,16,15.95,16.1,0.15,16.025,1782,6757
C,11/7/2025 3:54 PM,485,14.95,14.85,14.95,0.1,14.9,429,2507
C,11/7/2025 3:59 PM,490,13.85,13.8,13.9,0.1,13.85,438,4434
C,11/7/2025 3:54 PM,495,12.83,12.8,12.95,0.15,12.875,384,2483
C,11/7/2025 3:59 PM,500,12,11.9,12,0.1,11.95,8576,41761
C,11/7/2025 3:57 PM,505,11.2,11.1,11.2,0.1,11.15,307,1132
C,11/7/2025 3:58 PM,510,10.45,10.3,10.45,0.15,10.375,459,5211
C,11/7/2025 3:59 PM,520,9.04,8.95,9.05,0.1,9,1026,8068
C,11/7/2025 3:59 PM,525,8.4,8.35,8.45,0.1,8.4,533,2163
C,11/7/2025 3:57 PM,530,7.84,7.8,7.9,0.1,7.85,343,4051
C,11/7/2025 3:55 PM,535,7.39,7.25,7.35,0.1,7.3,150,512
C,11/7/2025 3:59 PM,550,6,5.95,6.05,0.1,6,1378,11835
C,11/7/2025 3:57 PM,570,4.62,4.6,4.7,0.1,4.65,112,6743
C,11/7/2025 3:53 PM,575,4.45,4.35,4.45,0.1,4.4,113,685
C,11/7/2025 3:59 PM,600,3.3,3.25,3.3,0.05,3.275,6139,23738
C,11/7/2025 3:57 PM,630,2.38,2.34,2.39,0.05,2.365,346,5501
C,11/7/2025 3:57 PM,650,1.93,1.91,1.94,0.03,1.925,1018,3721
